Day,Order,Reading
1,1,Gen 1:1-16:16
2,1,Gen 17:1-28:19
3,1,Gen 28:20-40:11
4,1,Gen 40:12-50:26
5,1,Exod 1:1-15:18
6,1,Exod 15:19-28:43
7,1,Exod 29:1-40:38
8,1,Lev 1:1-14:32
9,1,Lev 14:33-26:26
10,1,Lev 26:27-27:34
10,2,Num 1:1-8:14
11,1,Num 8:15-21:7
12,1,Num 21:8-32:19
13,1,Num 32:20-36:13
13,2,Deut 1:1-7:26
14,1,Deut 8:1-23:11
15,1,Deut 23:12-34:12
16,1,Josh 1:1-14:15
17,1,Josh 15:1-24:33
17,2,Judg 1:1-3:27
18,1,Judg 3:28-15:12
19,1,Judg 15:13-21:25
19,2,Ruth 1:1-4:22
19,3,1Sam 1:1-2:29
20,1,1Sam 2:30-15:35
21,1,1Sam 16:1-28:19
22,1,1Sam 28:20-31:13
22,2,2Sam 1:1-12:10
23,1,2Sam 12:11-22:18
24,1,2Sam 22:19-24:25
24,2,1Kgs 1:1-7:37
25,1,1Kgs 7:38-16:20
26,1,1Kgs 16:21-22:53
26,2,2Kgs 1:1-4:37
27,1,2Kgs 4:38-15:26
28,1,2Kgs 15:27-25:30
29,1,1Chr 1:1-9:44
30,1,1Chr 10:1-23:32
31,1,1Chr 24:1-29:30
31,2,2Chr 1:1-7:10
32,1,2Chr 7:11-23:15
33,1,2Chr 23:16-35:15
34,1,2Chr 35:16-36:23
34,2,Ezra 1:1-10:44
35,1,Neh 1:1-13:14
36,1,Neh 13:15-31
36,2,Esth 1:1-10:3
36,3,Job 1:1-7:21
37,1,Job 8:1-24:25
38,1,Job 25:1-41:34
39,1,Job 42:1-17
39,2,Ps 1:1-24:10
40,1,Ps 25:1-45:14
41,1,Ps 45:15-69:21
42,1,Ps 69:22-89:13
43,1,Ps 89:14-108:13
44,1,Ps 109:1-134:3
45,1,Ps 135:1-150:6
45,2,Prov 1:1-6:35
46,1,Prov 7:1-20:21
47,1,Prov 20:22-31:31
47,2,Eccl 1:1-2:26
48,1,Eccl 3:1-12:14
48,2,Song 1:1-8:14
49,1,Isa 1:1-13:22
50,1,Isa 14:1-28:29
51,1,Isa 29:1-41:18
52,1,Isa 41:19-52:12
53,1,Isa 52:13-66:18
54,1,Isa 66:19-24
54,2,Jer 1:1-10:13
55,1,Jer 10:14-23:8
56,1,Jer 23:9-33:22
57,1,Jer 33:23-47:7
58,1,Jer 48:1-52:34
58,2,Lam 1:1-22
59,1,Lam 2:1-5:22
59,2,Ezek 1:1-12:20
