Day,Order,Reading
1,1,Gen 1-3
1,2,Ps 1
2,1,Gen 4-7
2,2,Ps 2
3,1,Gen 8-11
3,2,Ps 3
4,1,Gen 12-15
4,2,Ps 4
5,1,Gen 16-18
5,2,Ps 5
6,1,Gen 19-21
6,2,Ps 6
7,1,Gen 22-24
7,2,Ps 7
8,1,Gen 25-28
8,2,Ps 8
9,1,Gen 29-31
9,2,Ps 9
10,1,Gen 32-34
10,2,Ps 10
11,1,Gen 35-37
11,2,Ps 11
12,1,Gen 38-40
12,2,Ps 12
13,1,Gen 41-42
13,2,Ps 13
14,1,Gen 43-45
14,2,Ps 14
15,1,Gen 46-47
15,2,Ps 15
16,1,Gen 48-50
16,2,Ps 16
17,1,Exod 1-3
17,2,Ps 17
18,1,Exod 4-6
18,2,Ps 18
19,1,Exod 7-9
19,2,Ps 19
20,1,Exod 10-12
20,2,Ps 20
21,1,Exod 13-15
21,2,Ps 21
22,1,Exod 16-18
22,2,Ps 22
23,1,Exod 19-21
23,2,Ps 23
24,1,Exod 22-24
24,2,Ps 24
25,1,Exod 25-27
25,2,Ps 25
26,1,Exod 28-29
26,2,Ps 26
27,1,Exod 30-31
27,2,Ps 27
28,1,Exod 32-34
28,2,Ps 28
29,1,Exod 35-40 [Skim]
29,2,Ps 29
30,1,Lev 1-4
30,2,Ps 30
31,1,Lev 5-7
31,2,Ps 31
32,1,Lev 8-10
32,2,Ps 32
33,1,Lev 11-13
33,2,Ps 33
34,1,Lev 14-15
34,2,Ps 34
35,1,Lev 16-18
35,2,Ps 35
36,1,Lev 19-20
36,2,Ps 36
37,1,Lev 21-23
37,2,Ps 37
38,1,Lev 24-25
38,2,Ps 38
39,1,Lev 26-27
39,2,Ps 39
40,1,Num 1-4
40,2,Ps 40
41,1,Num 5-7 [Skim 7]
41,2,Ps 41
42,1,Num 8-10
42,2,Ps 42
43,1,Num 11-13
43,2,Ps 43
44,1,Num 14-16
44,2,Ps 44
45,1,Num 17-18
45,2,Ps 45
46,1,Num 19-21
46,2,Ps 46
47,1,Num 22-24
47,2,Ps 47
48,1,Num 25-27
48,2,Ps 48
49,1,Num 28-30
49,2,Ps 49
50,1,Num 31-32
50,2,Ps 50
51,1,Num 33-34
51,2,Ps 51
52,1,Num 35-36
52,2,Ps 52
53,1,Deut 1-3
53,2,Ps 53
54,1,Deut 4-6
54,2,Ps 54
55,1,Deut 7-9
55,2,Ps 55
56,1,Deut 10-12
56,2,Ps 56
57,1,Deut 13-14
57,2,Ps 57
58,1,Deut 15-16
58,2,Ps 58
59,1,Deut 17-20
59,2,Ps 59
60,1,Deut 21-23
60,2,Ps 60
61,1,Deut 24-27
61,2,Ps 61
62,1,Deut 28-29
62,2,Ps 62
63,1,Deut 30-31
63,2,Ps 63
64,1,Deut 32-34
64,2,Ps 64
65,1,Josh 1-4
65,2,Ps 65
66,1,Josh 5-8
66,2,Ps 66
67,1,Josh 9-12
67,2,Ps 67
68,1,Josh 13-21 [Skim]
68,2,Ps 68
69,1,Josh 22-24
69,2,Ps 69
70,1,Judg 1-3
70,2,Ps 70
71,1,Judg 4-5
71,2,Ps 71
72,1,Judg 6-8
72,2,Ps 72
73,1,Judg 9-12
73,2,Ps 73
74,1,Judg 13-15
74,2,Ps 74
75,1,Judg 16-18
75,2,Ps 75
76,1,Judg 19-21
76,2,Ps 76
77,1,Ruth 1-4
77,2,Ps 77
78,1,1Sam 1-3
78,2,Ps 78
79,1,1Sam 4-8
79,2,Ps 79
80,1,1Sam 9-12
80,2,Ps 80
81,1,1Sam 13-14
81,2,Ps 81
82,1,1Sam 15-17
82,2,Ps 82
83,1,1Sam 18-20
83,2,Ps 83
84,1,1Sam 21-24
84,2,Ps 84
85,1,1Sam 25-27
85,2,Ps 85
86,1,1Sam 28-31
86,2,Ps 86
87,1,2Sam 1-3
87,2,Ps 87
88,1,2Sam 4-8
88,2,Ps 88
89,1,2Sam 9-12
89,2,Ps 89
90,1,2Sam 13-15
90,2,Ps 90
91,1,2Sam 16-18
91,2,Ps 91
92,1,2Sam 19-21
92,2,Ps 92
93,1,2Sam 22-24
93,2,Ps 93
94,1,1Kgs 1-3
94,2,Ps 94
95,1,1Kgs 4-7
95,2,Ps 95
96,1,1Kgs 8-10
96,2,Ps 96
97,1,1Kgs 11-13
97,2,Ps 97
98,1,1Kgs 14-16
98,2,Ps 98
99,1,1Kgs 17-19
99,2,Ps 99
100,1,1Kgs 20-22
100,2,Ps 100
101,1,2Kgs 1-3
101,2,Ps 101
102,1,2Kgs 4-7
102,2,Ps 102
103,1,2Kgs 8-11
103,2,Ps 103
104,1,2Kgs 12-14
104,2,Ps 104
105,1,2Kgs 15-17
105,2,Ps 105
106,1,2Kgs 18-19
106,2,Ps 106
107,1,2Kgs 20-22
107,2,Ps 107
108,1,2Kgs 23-25
108,2,Ps 108
109,1,Isa 1-4
109,2,Ps 109
110,1,Isa 5-8
110,2,Ps 110
111,1,Isa 9-12
111,2,Ps 111
112,1,Isa 13-17
112,2,Ps 112
113,1,Isa 18-22
113,2,Ps 113
114,1,Isa 23-27
114,2,Ps 114
115,1,Isa 28-30
115,2,Ps 115
116,1,Isa 31-35
116,2,Ps 116
117,1,Isa 36-38
117,2,Ps 117
118,1,Isa 39-41
118,2,Ps 118
119,1,Isa 42-44
119,2,Ps 119:1-32
120,1,Isa 45-48
120,2,Ps 119:33-64
121,1,Isa 49-51
121,2,Ps 119:65-96
122,1,Isa 52-54
122,2,Ps 119:97-128
123,1,Isa 55-57
123,2,Ps 119:129-152
124,1,Isa 58-60
124,2,Ps 119:153-176
125,1,Isa 61-64
125,2,Ps 120
126,1,Isa 65-66
126,2,Ps 121
127,1,Hos 1-5
127,2,Ps 122
128,1,Hos 6-10
128,2,Ps 123
129,1,Hos 11-14
129,2,Ps 124
130,1,Joel 1-2
130,2,Ps 125
131,1,Amos 1-5
131,2,Ps 126
132,1,Amos 6-9
132,2,Ps 127
133,1,Obad 1
133,2,Ps 128
134,1,Jonah 1-4
134,2,Ps 129
135,1,Mic 1-4
135,2,Ps 130
136,1,Mic 5-7
136,2,Ps 131
137,1,Nah 1-3
137,2,Ps 132
138,1,Hab 1-3
138,2,Ps 133
139,1,Zeph 1-3
139,2,Ps 134
140,1,Job 1-3
140,2,Ps 135
141,1,Job 4-7
141,2,Ps 136
142,1,Job 8-11
142,2,Ps 137
143,1,Job 12-15
143,2,Ps 138
144,1,Job 16-19
144,2,Ps 139
145,1,Job 20-23
145,2,Ps 140
146,1,Job 24-28
146,2,Ps 141
147,1,Job 29-31
147,2,Ps 142
148,1,Job 32-34
148,2,Ps 143
149,1,Job 35-37
149,2,Ps 144
150,1,Job 38-39
150,1,Ps 145
151,1,Job 40-42
151,2,Ps 146
152,1,Ps 1-2
152,2,Ps 147
153,1,Prov 1-3
153,2,Ps 148
154,1,Prov 4-6
154,2,Ps 149
155,1,Prov 7-9
155,2,Ps 150
156,1,Prov 10-12
156,2,Ps 1
157,1,Prov 13-15
157,2,Ps 2
158,1,Prov 16-18
158,2,Ps 3
159,1,Prov 19-21
159,2,Ps 4
160,1,Prov 22-24
160,2,Ps 5
161,1,Prov 25-27
161,2,Ps 6
162,1,Prov 28-31
162,2,Ps 7
163,1,Eccl 1-4
163,2,Ps 8
164,1,Eccl 5-8
164,2,Ps 9
165,1,Eccl 9-12
165,2,Ps 10
166,1,Song 1-4
166,2,Ps 11
167,1,Song 5-8
167,2,Ps 12
168,1,Jer 1-3
168,2,Ps 13
169,1,Jer 4-6
169,2,Ps 14
170,1,Jer 7-9
170,2,Ps 15
171,1,Jer 10-13
171,2,Ps 16
172,1,Jer 14-17
172,2,Ps 17
173,1,Jer 18-22
173,2,Ps 18
174,1,Jer 23-25
174,2,Ps 19
175,1,Jer 26-29
175,2,Ps 20
176,1,Jer 30-32
176,2,Ps 21
177,1,Jer 33-36
177,2,Ps 22
178,1,Jer 37-39
178,2,Ps 23
179,1,Jer 40-44
179,2,Ps 24
180,1,Jer 45-48
180,2,Ps 25
181,1,Jer 49-50
181,2,Ps 26
182,1,Jer 51-52
182,2,Ps 27
183,1,Lam 1-2
183,2,Ps 28
184,1,Lam 3
184,2,Ps 29
185,1,Lam 4-5
185,2,Ps 30
186,1,Ezek 1-4
186,2,Ps 31
187,1,Ezek 5-8
187,2,Ps 32
188,1,Ezek 9-12
188,2,Ps 33
189,1,Ezek 13-15
189,2,Ps 34
190,1,Ezek 16-18
190,2,Ps 35
191,1,Ezek 19-21
191,2,Ps 36
192,1,Ezek 22-24
192,2,Ps 37
193,1,Ezek 25-27
193,2,Ps 38
194,1,Ezek 28-30
194,2,Ps 39
195,1,Ezek 31-33
195,2,Ps 40
196,1,Ezek 34-36
196,2,Ps 41
197,1,Ezek 37-39
197,2,Ps 42
198,1,Ezek 40-44
198,2,Ps 43
199,1,Ezek 45-48
199,2,Ps 44
200,1,Ezra 1-3
200,2,Ps 45
201,1,Ezra 4-7
201,2,Ps 46
202,1,Ezra 8-10
202,2,Ps 47
203,1,Neh 1-3
203,2,Ps 48
204,1,Neh 4-6
204,2,Ps 49
205,1,Neh 7-9
205,2,Ps 50
206,1,Neh 10-11
206,2,Ps 51
207,1,Neh 12-13
207,2,Ps 52
208,1,Esth 1-5
208,2,Ps 53
209,1,Esth 6-10
209,2,Ps 54
210,1,Dan 1-3
210,2,Ps 55
211,1,Dan 4-6
211,2,Ps 56
212,1,Dan 7-9
212,2,Ps 57
213,1,Dan 10-12
213,2,Ps 58
214,1,Hag 1-2
214,2,Ps 59
215,1,Zech 1-4
215,2,Ps 60
216,1,Zech 5-8
216,2,Ps 61
217,1,Zech 9-14
217,2,Ps 62
218,1,Mal 1-2
218,2,Ps 63
219,1,Mal 3-4
219,2,Ps 64
220,1,1Chr 1-10 [Skim]
220,2,Ps 65
221,1,1Chr 11-14
221,2,Ps 66
222,1,1Chr 15-17
222,2,Ps 67
223,1,1Chr 18-21
223,2,Ps 68
224,1,1Chr 22-24
224,2,Ps 69
225,1,1Chr 25-29
225,2,Ps 70
226,1,2Chr 1-4
226,2,Ps 71
227,1,2Chr 5-8
227,2,Ps 72
228,1,2Chr 9-12
228,2,Ps 73
229,1,2Chr 13-17
229,2,Ps 74
230,1,2Chr 18-20
230,2,Ps 75
231,1,2Chr 21-24
231,2,Ps 76
232,1,2Chr 25-27
232,2,Ps 77
233,1,2Chr 28-31
233,2,Ps 78
234,1,2Chr 32-34
234,2,Ps 79
235,1,2Chr 35-36
235,2,Ps 80
236,1,Matt 1-2
236,2,Ps 81
237,1,Matt 3-4
237,2,Ps 82
238,1,Matt 5-6
238,2,Ps 83
239,1,Matt 7-8
239,2,Ps 84
240,1,Matt 9-10
240,2,Ps 85
241,1,Matt 11-12
241,2,Ps 86
242,1,Matt 13-14
242,2,Ps 87
243,1,Matt 15-16
243,2,Ps 88
244,1,Matt 17-18
244,2,Ps 89
245,1,Matt 19-20
245,2,Ps 90
246,1,Matt 21-22
246,2,Ps 91
247,1,Matt 23-24
247,2,Ps 92
248,1,Matt 25-26
248,2,Ps 93
249,1,Matt 27-28
249,2,Ps 94
250,1,Mark 1-2
250,2,Ps 95
251,1,Mark 3-4
251,2,Ps 96
252,1,Mark 5-6
252,2,Ps 97
253,1,Mark 7-8
253,2,Ps 98
254,1,Mark 9-10
254,2,Ps 99
255,1,Mark 11-12
255,2,Ps 100
256,1,Mark 13-14
256,2,Ps 101
257,1,Mark 15-16
257,2,Ps 102
258,1,John 1-2
258,2,Ps 103
259,1,John 3-4
259,2,Ps 104
260,1,John 5-6
260,2,Ps 105
261,1,John 7-8
261,2,Ps 106
262,1,John 9-10
262,2,Ps 107
263,1,John 11-12
263,2,Ps 108
264,1,John 13-15
264,2,Ps 109
265,1,John 16-18
265,2,Ps 110
266,1,John 19-21
266,2,Ps 111
267,1,Luke 1
267,2,Ps 112
268,1,Luke 2-3
268,2,Ps 113
269,1,Luke 4-5
269,2,Ps 114
270,1,Luke 6-7
270,2,Ps 115
271,1,Luke 8-9
271,2,Ps 116
272,1,Luke 10-11
272,2,Ps 117
273,1,Luke 12-13
273,2,Ps 118
274,1,Luke 14-16
274,2,Ps 119:1-32
275,1,Luke 17-18
275,2,Ps 119:33-64
276,1,Luke 19-20
276,2,Ps 119:65-96
277,1,Luke 21-22
277,2,Ps 119:97-128
278,1,Luke 23-24
278,2,Ps 119:129-152
279,1,Acts 1-2
279,2,Ps 119:153-176
280,1,Acts 3-4
280,2,Ps 120
281,1,Acts 5-6
281,2,Ps 121
282,1,Acts 7-8
282,2,Ps 122
283,1,Acts 9-10
283,2,Ps 123
284,1,Acts 11-12
284,2,Ps 124
285,1,Acts 13-14
285,2,Ps 125
286,1,Acts 15-16
286,2,Ps 126
287,1,Acts 17-18
287,2,Ps 127
288,1,Acts 19-20
288,2,Ps 128
289,1,Acts 21-22
289,2,Ps 129
290,1,Acts 23-24
290,2,Ps 130
291,1,Acts 25-26
291,2,Ps 131
292,1,Acts 27-28
292,2,Ps 132
293,1,Rom 1-2
293,2,Ps 133
294,1,Rom 3-4
294,2,Ps 134
295,1,Rom 5-6
295,2,Ps 135
296,1,Rom 7-8
296,2,Ps 136
297,1,Rom 9-10
297,2,Ps 137
298,1,Rom 11-12
298,2,Ps 138
299,1,Rom 13-14
299,2,Ps 139
300,1,Rom 15-16
300,2,Ps 140
301,1,1Cor 1-2
301,2,Ps 141
302,1,1Cor 3-4
302,2,Ps 142
303,1,1Cor 5-6
303,2,Ps 143
304,1,1Cor 7-8
304,2,Ps 144
305,1,1Cor 9-10
305,2,Ps 145
306,1,1Cor 11-12
306,2,Ps 146
307,1,1Cor 13-14
307,2,Ps 147
308,1,1Cor 15-16
308,2,Ps 148
309,1,2Cor 1-2
309,2,Ps 149
310,1,2Cor 3-4
310,2,Ps 150
311,1,2Cor 5-6
311,2,Ps 1
312,1,2Cor 7-8
312,2,Ps 2
313,1,2Cor 9-10
313,2,Ps 3
314,1,2Cor 11-13
314,2,Ps 4
315,1,Gal 1-2
315,2,Ps 5
316,1,Gal 3-4
316,2,Ps 6
317,1,Gal 5-6
317,2,Ps 7
318,1,Eph 1-2
318,2,Ps 8
319,1,Eph 3-4
319,2,Ps 9
320,1,Eph 5-6
320,2,Ps 10
321,1,Phil 1-2
321,2,Ps 11
322,1,Phil 3-4
322,2,Ps 12
323,1,Col 1-2
323,2,Ps 13
324,1,Col 3-4
324,2,Ps 14
325,1,1Thess 1-2
325,2,Ps 15
326,1,1Thess 3-4
326,2,Ps 16
327,1,1Thess 5
327,2,Ps 17
328,1,2Thess 
328,2,Ps 18
329,1,1Tim 1-2
329,2,Ps 19
330,1,1Tim 3-4
330,2,Ps 20
331,1,1Tim 5-6
331,2,Ps 21
332,1,2Tim 1-4
332,2,Ps 22
333,1,Titus 1-3
333,2,Ps 23
334,1,Phm 1
334,2,Ps 24
335,1,Heb 1-2
335,2,Ps 25
336,1,Heb 3-4
336,2,Ps 26
337,1,Heb 5-6
337,2,Ps 27
338,1,Heb 7-8
338,2,Ps 28
339,1,Heb 9-10
339,2,Ps 29
340,1,Heb 11-13
340,2,Ps 30
341,1,Jas 1-3
341,2,Ps 31
342,1,Jas 4-5
342,2,Ps 32
343,1,1Pet 1-2
343,2,Ps 33
344,1,1Pet 3-5
344,2,Ps 34
345,1,2Pet 1-3
345,2,Ps 35
346,1,1John 1-2
346,2,Ps 36
347,1,1John 3-4
347,2,Ps 37
348,1,1John 5
348,2,2John 1
348,3,3John 1
348,4,Ps 38
349,1,Jude 1
349,2,Ps 39
350,1,Rev 1-3
350,2,Ps 40
351,1,Rev 4-6
351,2,Ps 41
352,1,Rev 7-9
352,2,Ps 42
353,1,Rev 10-11
353,2,Ps 43
354,1,Rev 12-13
354,2,Ps 44
355,1,Rev 14-16
355,2,Ps 45
356,1,Rev 17-18
356,2,Ps 46
357,1,Rev 19-20
357,2,Ps 47
358,1,Rev 21-22
358,2,Ps 48
359,1,None
360,1,None
361,1,None
362,1,None
363,1,None
364,1,None
365,1,None
