Day,Order,Reading
1,1,Gen 1-3
2,1,Gen 4-7
3,1,Gen 8-11
4,1,Job 1-5
5,1,Job 6-9
6,1,Job 10-13
7,1,Job 14-16
8,1,Job 17-20
9,1,Job 21-23
10,1,Job 24-28
11,1,Job 29-31
12,1,Job 32-34
13,1,Job 35-37
14,1,Job 38-39
15,1,Job 40-42
16,1,Gen 12-15
17,1,Gen 16-18
18,1,Gen 19-21
19,1,Gen 22-24
20,1,Gen 25-26
21,1,Gen 27-29
22,1,Gen 30-31
23,1,Gen 32-34
24,1,Gen 35-37
25,1,Gen 38-40
26,1,Gen 41-42
27,1,Gen 43-45
28,1,Gen 46-47
29,1,Gen 48-50
30,1,Exod 1-3
31,1,Exod 4-6
32,1,Exod 7-9
33,1,Exod 10-12
34,1,Exod 13-15
35,1,Exod 16-18
36,1,Exod 19-21
37,1,Exod 22-24
38,1,Exod 25-27
39,1,Exod 28-29
40,1,Exod 30-32
41,1,Exod 33-35
42,1,Exod 36-38
43,1,Exod 39-40
44,1,Lev 1-4
45,1,Lev 5-7
46,1,Lev 8-10
47,1,Lev 11-13
48,1,Lev 14-15
49,1,Lev 16-18
50,1,Lev 19-21
51,1,Lev 22-23
52,1,Lev 24-25
53,1,Lev 26-27
54,1,Num 1-2
55,1,Num 3-4
56,1,Num 5-6
57,1,Num 7
58,1,Num 8-10
59,1,Num 11-13
60,1,Num 14-15
60,2,Ps 90
61,1,Num 16-17
62,1,Num 18-20
63,1,Num 21-22
64,1,Num 23-25
65,1,Num 26-27
66,1,Num 28-30
67,1,Num 31-32
68,1,Num 33-34
69,1,Num 35-36
70,1,Deut 1-2
71,1,Deut 3-4
72,1,Deut 5-7
73,1,Deut 8-10
74,1,Deut 11-13
75,1,Deut 14-16
76,1,Deut 17-20
77,1,Deut 21-23
78,1,Deut 24-27
79,1,Deut 28-29
80,1,Deut 30-31
81,1,Deut 32-34
81,2,Ps 91
82,1,Josh 1-4
83,1,Josh 5-8
84,1,Josh 9-11
85,1,Josh 12-15
86,1,Josh 16-18
87,1,Josh 19-21
88,1,Josh 22-24
89,1,Judg 1-2
90,1,Judg 3-5
91,1,Judg 6-7
92,1,Judg 8-9
93,1,Judg 10-12
94,1,Judg 13-15
95,1,Judg 16-18
96,1,Judg 19-21
97,1,Ruth 1-4
98,1,1Sam 1-3
99,1,1Sam 4-8
100,1,1Sam 9-12
101,1,1Sam 13-14
102,1,1Sam 15-17
103,1,1Sam 18-20
103,2,Ps 11
103,3,Ps 59
104,1,1Sam 21-24
105,1,Ps 7
105,2,Ps 27
105,3,Ps 31
105,4,Ps 34
105,5,Ps 52
106,1,Ps 56
106,2,Ps 120
106,3,Ps 140-142
107,1,1Sam 25-27
108,1,Ps 17
108,2,Ps 35
108,3,Ps 54
108,4,Ps 63
109,1,1Sam 28-31
109,2,Ps 18
110,1,Ps 121
110,2,Ps 123-125
110,3,Ps 128-130
111,1,2Sam 1-4
112,1,Ps 6
112,2,Ps 8-10
112,3,Ps 14
112,4,Ps 16
112,5,Ps 19
112,6,Ps 21
113,1,1Chr 1-2
114,1,Ps 43-45
114,2,Ps 49
114,3,Ps 84-85
114,4,Ps 87
115,1,1Chr 3-5
116,1,Ps 73
116,2,Ps 77-78
117,1,1Chr 6
118,1,Ps 81
118,2,Ps 88
118,3,Ps 92-93
119,1,1Chr 7-10
120,1,Ps 102-104
121,1,2Sam 5:1-10
121,2,1Chr 11-12
122,1,Ps 133
123,1,Ps 106-107
124,1,2Sam 5:11-6:23
1234,2,1Chr 13-16
125,1,Ps 1-2
125,2,Ps 15
125,3,Ps 22-24
125,4,Ps 47
125,5,Ps 68
126,1,Ps 89
126,2,Ps 96
126,3,Ps 100-101
126,4,Ps 105
126,5,Ps 132
127,1,2Sam 7
127,2,1Chr 17
128,1,Ps 25
128,2,Ps 29
128,3,Ps 33
128,4,Ps 36
128,5,Ps 39
129,1,2Sam 8-9
129,2,1Chr 18
130,1,Ps 50
130,2,Ps 53
130,3,Ps 60
130,4,Ps 75
131,1,2Sam 10
131,2,1Chr 19
131,3,Ps 20
132,1,Ps 65-67
132,2,Ps 69-70
133,1,2Sam 11-12
133,2,1Chr 20
134,1,Ps 32
134,2,Ps 51
134,3,Ps 86
134,4,Ps 122
135,1,2Sam 13-15
136,1,Ps 3-4
136,2,Ps 12-13
136,3,Ps 28
136,4,Ps 55
137,1,2Sam 16-18
138,1,Ps 26
138,2,Ps 40
138,3,Ps 58
138,4,Ps 61-62
138,5,Ps 64
139,1,2Sam 19-21
140,1,Ps 5
140,2,Ps 38
140,3,Ps 41-42
141,1,2Sam 22-23
141,2,Ps 57
142,1,Ps 95
142,2,Ps 97-99
143,1,2Sam 24
143,2,1Chr 21-22
143,3,Ps 30
144,1,Ps 108-110
145,1,1Chr 23-25
146,1,Ps 131
146,2,Ps 138-139
146,3,Ps 143-145
147,1,1Chr 26-29
147,2,Ps 127
148,1,Ps 111-118
149,1,1Kgs 1-2
149,2,Ps 37
149,3,Ps 71
149,4,Ps 94
150,1,Ps 119:1-88
151,1,1Kgs 3-4
151,2,2Chr 1
151,3,Ps 72
152,1,Ps 119:89-176
153,1,Song 1-8
154,1,Prov 1-3
155,1,Prov 4-6
156,1,Prov 7-9
157,1,Prov 10-12
158,1,Prov 13-15
159,1,Prov 16-18
160,1,Prov 19-21
161,1,Prov 22-24
162,1,1Kgs 5-6
162,2,2Chr 2-3
163,1,1Kgs 7
163,2,2Chr 4
164,1,1Kgs 8
164,2,2Chr 5
165,1,2Chr 6-7
165,2,Ps 136
166,1,Ps 134
166,2,Ps 146-150
167,1,1Kgs 9
167,2,2Chr 8
168,1,Prov 25-26
169,1,Prov 27-29
170,1,Eccl 1-6
171,1,Eccl 7-12
172,1,1Kgs 10-11
172,2,2Chr 9
173,1,Prov 30-31
174,1,1Kgs 12-14
175,1,2Chr 10-12
176,1,1Kgs 15:1-24
176,2,2Chr 13-16
177,1,1Kgs 15:25-16:34
177,2,2Chr 17
178,1,1Kgs 17-19
179,1,1Kgs 20-21
180,1,1Kgs 22
180,2,2Chr 18
181,1,2Chr 19-23
182,1,Obad 1
182,2,Ps 82-83
183,1,2Kgs 1-4
184,1,2Kgs 5-8
185,1,2Kgs 9-11
186,1,2Kgs 12-13
186,2,2Chr 24
187,1,2Kgs 14
187,2,2Chr 25
188,1,Jonah 1-4
189,1,2Kgs 15
189,2,2Chr 26
190,1,Isa 1-4
191,1,Isa 5-8
192,1,Amos 1-5
193,1,Amos 6-9
194,1,2Chr 27
194,2,Isa 9-12
195,1,Mic 1-7
196,1,2Chr 28
196,2,2Kgs 16-17
197,1,Isa 13-17
198,1,Isa 18-22
199,1,Isa 23-27
200,1,2Kgs 18:1-8
200,2,2Chr 29-31
200,3,Ps 48
201,1,Hos 1-7
202,1,Hos 8-14
203,1,Isa 28-30
204,1,Isa 31-34
205,1,Isa 35-36
206,1,Isa 37-39
206,2,Ps 76
207,1,Isa 40-43
208,1,Isa 44-48
209,1,2Kgs 18:9-19:37
209,2,Ps 46
209,3,Ps 80
209,4,Ps 135
210,1,Isa 49-53
211,1,Isa 54-58
212,1,Isa 59-63
213,1,Isa 64-66
214,1,2Kgs 20-21
215,1,2Chr 32-33
216,1,Nah 1-3
217,1,2Kgs 22-23
217,2,2Chr 34-35
218,1,Zeph 1-3
219,1,Jer 1-3
220,1,Jer 4-6
221,1,Jer 7-9
222,1,Jer 10-13
223,1,Jer 14-17
224,1,Jer 18-22
225,1,Jer 23-25
226,1,Jer 26-29
227,1,Jer 30-31
228,1,Jer 32-34
229,1,Jer 35-37
230,1,Jer 38-40
230,2,Ps 74
230,3,Ps 79
231,1,2Kgs 24-25
231,2,2Chr 36
232,1,Hab 1-3
233,1,Jer 41-45
234,1,Jer 46-48
235,1,Jer 49-50
236,1,Jer 51-52
237,1,Lam 1:1-3:36
238,1,Lam 3:37-5:22
239,1,Ezek 1-4
240,1,Ezek 5-8
241,1,Ezek 9-12
242,1,Ezek 13-15
243,1,Ezek 16-17
244,1,Ezek 18-19
245,1,Ezek 20-21
246,1,Ezek 22-23
247,1,Ezek 24-27
248,1,Ezek 28-31
249,1,Ezek 32-34
250,1,Ezek 35-37
251,1,Ezek 38-39
252,1,Ezek 40-41
253,1,Ezek 42-43
254,1,Ezek 44-45
255,1,Ezek 46-48
256,1,Joel 1-3
257,1,Dan 1-3
258,1,Dan 4-6
259,1,Dan 7-9
260,1,Dan 10-12
261,1,Ezra 1-3
262,1,Ezra 4-6
262,2,Ps 137
263,1,Hag 1-2
264,1,Zech 1-7
265,1,Zech 8-14
266,1,Esth 1-5
267,1,Esth 6-10
268,1,Ezra 7-10
269,1,Neh 1-5
270,1,Neh 6-7
271,1,Neh 8-10
272,1,Neh 11-13
272,2,Ps 126
273,1,Mal 1-4
274,1,Luke 1
274,2,John 1:1-14
275,1,Matt 1
275,2,Luke 2:1-38
276,1,Matt 2
276,2,Luke 2:39-52
277,1,Matt 3
277,2,Mark 1
277,3,Luke 3
278,1,Matt 4
278,2,Luke 4-5
278,3,John 1:15-51
279,1,John 2-4
280,1,Mark 2
281,1,John 5
282,1,Matt 12:1-21
282,2,Mark 3
282,3,Luke 6
283,1,Matt 5-7
284,1,Matt 8:1-13
284,2,Luke 7
285,1,Matt 11
286,1,Matt 12:22-50
287,1,Matt 13
287,2,Luke 8
288,1,Matt 8:14-34
288,2,Mark 4-5
289,1,Matt 9-10
290,1,Matt 14
290,2,Mark 6
290,3,Luke 9:1-17
291,1,John 6
292,1,Matt 15
292,2,Mark 7
293,1,Matt 16
293,2,Mark 8
293,3,Luke 9:18-27
294,1,Matt 17
294,2,Mark 9
294,3,Luke 9:28-62
295,1,Matt 18
296,1,John 7-8
297,1,John 9:1-10:21
298,1,Luke 10-11
298,2,John 10:22-42
299,1,Luke 12-13
300,1,Luke 14-15
301,1,Luke 16:1-17:10
302,1,John 11
303,1,Luke 17:11-18:14
304,1,Matt 19
304,2,Mark 10
305,1,Matt 20-21
306,1,Luke 18:15-19:48
307,1,Mark 11
307,2,John 12
308,1,Matt 22
308,2,Mark 12
309,1,Matt 23
309,2,Luke 20-21
310,1,Mark 13
311,1,Matt 24
312,1,Matt 25
313,1,Matt 26
313,2,Mark 14
314,1,Luke 22
314,2,John 13
315,1,John 14-17
316,1,Matt 27
316,2,Mark 15
317,1,Luke 23
317,2,John 18-19
318,1,Matt 28
318,2,Mark 16
319,1,Luke 24
319,2,John 20-21
320,1,Acts 1-3
321,1,Acts 4-6
322,1,Acts 7-8
323,1,Acts 9-10
324,1,Acts 11-12
325,1,Acts 13-14
326,1,Jas 1-5
327,1,Acts 15-16
328,1,Gal 1-3
329,1,Gal 4-6
330,1,Acts 17:1-18:18
331,1,1Thess 1-5
331,2,2Thess 1-3
332,1,Acts 18:19-19:41
333,1,1Cor 1-4
334,1,1Cor 5-8
335,1,1Cor 9-11
336,1,1Cor 12-14
337,1,1Cor 15-16
338,1,2Cor 1-4
339,1,2Cor 5-9
340,1,2Cor 10-13
341,1,Acts 20:1-3
341,2,Rom 1-3
342,1,Rom 4-7
343,1,Rom 8-10
344,1,Rom 11-13
345,1,Rom 14-16
346,1,Acts 20:4-23:35
347,1,Acts 24-26
348,1,Acts 27-28
349,1,Col 1-4
349,2,Phm 1
350,1,Eph 1-6
351,1,Phil 1-4
352,1,1Tim 1-6
353,1,Titus 1-3
354,1,1Pet 1-5
355,1,Heb 1-6
356,1,Heb 7-10
357,1,Heb 11-13
358,1,2Tim 1-4
359,1,2Pet 1-3
359,2,Jude 1
360,1,1John 1-5
361,1,2John 1
361,2,3John 1
362,1,Rev 1-5
363,1,Rev 6-11
364,1,Rev 12-18
365,1,Rev 19-22
