Day,Order,Reading
1,1,Ps 1-2
2,1,Luke 1
3,1,Luke 2
4,1,Luke 3
5,1,Luke 4
6,1,Prov 1
7,1,Ps 3-5
8,1,Luke 5
9,1,Luke 6
10,1,Luke 7
11,1,Luke 8
12,1,Luke 9
13,1,Ps 6-7
14,1,Luke 10
15,1,Luke 11
16,1,Luke 12
17,1,Prov 2
18,1,Luke 13
19,1,Luke 14
20,1,Ps 8-9
21,1,Luke 15
22,1,Luke 16
23,1,Luke 17
24,1,Luke 18
25,1,Ps 10-12
26,1,Luke 19
27,1,Luke 20
28,1,Luke 21
29,1,Luke 22
30,1,Luke 23
31,1,Luke 24
32,1,Ps 16-17
33,1,Prov 3
34,1,Acts 1
35,1,Acts 2
36,1,Acts 3
37,1,Acts 4
38,1,Acts 5
39,1,Ps 18
40,1,Acts 6
41,1,Acts 7
42,1,Acts 8
43,1,Ps 19-20
44,1,Acts 9
45,1,Acts 10
46,1,Acts 11
47,1,Prov 4
48,1,Acts 12
49,1,Acts 13
50,1,Acts 14
51,1,Ps 21-22
52,1,Acts 15
53,1,Acts 16
54,1,Prov 5
55,1,Acts 17
56,1,Acts 18
57,1,Acts 19
58,1,Acts 20
59,1,Ps 23-24
60,1,Acts 21
61,1,Acts 22
62,1,Acts 23
63,1,Ps 13-15
64,1,Acts 24
65,1,Acts 25
66,1,Acts 26
67,1,Acts 27
68,1,Acts 28
69,1,Prov 6
70,1,Ps 25-26
71,1,1Tim 1
72,1,1Tim 2
73,1,1Tim 3
74,1,1Tim 4
75,1,1Tim 5
76,1,1Tim 6
77,1,Ps 27-29
78,1,2Tim 1
79,1,2Tim 2
80,1,2Tim 3
81,1,2Tim 4
82,1,Ps 30-31
83,1,Prov 7
84,1,Titus 1
85,1,Titus 2
86,1,Titus 3
87,1,Ps 32-33
88,1,Prov 8
89,1,Phm 1
90,1,Ps 34-35
91,1,Mark 1
92,1,Mark 2
93,1,Mark 3
94,1,Mark 4
95,1,Mark 5
96,1,Mark 6
97,1,Prov 9
98,1,Mark 7
99,1,Mark 8
100,1,Mark 9
101,1,Mark 10
102,1,Ps 36
103,1,Mark 11
104,1,Mark 12
105,1,Mark 13
106,1,Mark 14
107,1,Mark 15
108,1,Mark 16
109,1,Ps 37
110,1,1Pet 1
111,1,1Pet 2
112,1,1Pet 3
113,1,1Pet 4
114,1,1Pet 5
115,1,Ps 38
116,1,2Pet 1
117,1,2Pet 2
118,1,2Pet 3
119,1,Ps 39-40
120,1,Prov 10
121,1,Ps 41
122,1,Gal 1
123,1,Gal 2
124,1,Gal 3
125,1,Gal 4
126,1,Gal 5
127,1,Gal 6
128,1,Ps 42-43
129,1,1Thess 1
130,1,1Thess 2
131,1,1Thess 3
132,1,1Thess 4
133,1,1Thess 5
134,1,Ps 44-45
135,1,Prov 11
136,1,2Thess 1
137,1,2Thess 2
138,1,2Thess 3
139,1,Ps 46-47
140,1,Phil 1
141,1,Phil 2
142,1,Phil 3
