Day,Order,Reading
1,1,Gen 1:1-2:25
1,2,Matt 1:1-2:12
1,3,Ps 1:1-6
1,4,Prov 1:1-6
2,1,Gen 3:1-4:26
2,2,Matt 2:13-3:6
2,3,Ps 2:1-12
2,4,Prov 1:7-9
3,1,Gen 5:1-7:24
3,2,Matt 3:7-4:11
3,3,Ps 3:1-8
3,4,Prov 1:10-19
4,1,Gen 8:1-10:32
4,2,Matt 4:12-25
4,3,Ps 4:1-8
4,4,Prov 1:20-23
5,1,Gen 11:1-13:4
5,2,Matt 5:1-26
5,3,Ps 5:1-12
5,4,Prov 1:24-28
6,1,Gen 13:5-15:21
6,2,Matt 5:27-48
6,3,Ps 6:1-10
6,4,Prov 1:29-33
7,1,Gen 16:1-18:15
7,2,Matt 6:1-24
7,3,Ps 7:1-17
7,4,Prov 2:1-5
8,1,Gen 18:16-19:38
8,2,Matt 6:25-7:14
8,3,Ps 8:1-9
8,4,Prov 2:6-15
9,1,Gen 20:1-22:24
9,2,Matt 7:15-29
9,3,Ps 9:1-12
9,4,Prov 2:16-22
10,1,Gen 23:1-24:51
10,2,Matt 8:1-17
10,3,Ps 9:13-20
10,4,Prov 3:1-6
11,1,Gen 24:52-26:16
11,2,Matt 8:18-34
11,3,Ps 10:1-15
11,4,Prov 3:7-8
12,1,Gen 26:17-27:46
12,2,Matt 9:1-17
12,3,Ps 10:16-18
12,4,Prov 3:9-10
13,1,Gen 28:1-29:35
13,2,Matt 9:18-38
13,3,Ps 11:1-7
13,4,Prov 3:11-12
14,1,Gen 30:1-31:16
14,2,Matt 10:1-23
14,3,Ps 12:1-8
14,4,Prov 3:13-15
15,1,Gen 31:17-32:12
15,2,Matt 10:24-11:6
15,3,Ps 13:1-6
15,4,Prov 3:16-18
16,1,Gen 32:13-34:31
16,2,Matt 11:7-30
16,3,Ps 14:1-7
16,4,Prov 3:19-20
17,1,Gen 35:1-36:43
17,2,Matt 12:1-21
17,3,Ps 15:1-5
17,4,Prov 3:21-26
18,1,Gen 37:1-38:30
18,2,Matt 12:22-45
18,3,Ps 16:1-11
18,4,Prov 3:27-32
19,1,Gen 39:1-41:16
19,2,Matt 12:46-13:23
19,3,Ps 17:1-15
19,4,Prov 3:33-35
20,1,Gen 41:17-42:17
20,2,Matt 13:24-46
20,3,Ps 18:1-15
20,4,Prov 4:1-6
21,1,Gen 42:18-43:34
21,2,Matt 13:47-14:12
21,3,Ps 18:16-36
