TESTAMENT,TITLE,YOUTUBE LABEL,VIDEO_ID,RETRIEVED_FROM
1,Read Scripture: Genesis Ch. 1-11,"Read Scripture: Genesis Ch. 1-11 by The Bible Project 3 years ago 7 minutes, 43 seconds 1,686,069 views",GQI72THyO5I,Playlist
1,Read Scripture: Genesis Ch. 12-50,"Read Scripture: Genesis Ch. 12-50 by The Bible Project 2 years ago 8 minutes, 8 seconds 1,023,722 views",F4isSyennFo,Playlist
1,Read Scripture: Exodus Ch. 1 -18,"Read Scripture: Exodus Ch. 1 -18 by The Bible Project 2 years ago 6 minutes, 33 seconds 877,088 views",jH_aojNJM3E,Playlist
1,Read Scripture: Exodus Ch. 19-40,"Read Scripture: Exodus Ch. 19-40 by The Bible Project 2 years ago 6 minutes, 27 seconds 653,871 views",oNpTha80yyE,Playlist
1,Read Scripture: Leviticus,"Read Scripture: Leviticus by The Bible Project 2 years ago 8 minutes, 17 seconds 718,057 views",IJ-FekWUZzE,Playlist
1,Read Scripture: Numbers,"Read Scripture: Numbers by The Bible Project 2 years ago 6 minutes, 51 seconds 623,624 views",tp5MIrMZFqo,Playlist
1,Read Scripture: Deuteronomy,"Read Scripture: Deuteronomy by The Bible Project 2 years ago 7 minutes, 49 seconds 571,856 views",q5QEH9bH8AU,Playlist
1,Read Scripture: Joshua,"Read Scripture: Joshua by The Bible Project 2 years ago 8 minutes, 48 seconds 1,245,567 views",JqOqJlFF_eU,Playlist
1,Read Scripture: Judges,"Read Scripture: Judges by The Bible Project 2 years ago 7 minutes, 30 seconds 1,004,880 views",kOYy8iCfIJ4,Playlist
1,Read Scripture: Ruth,"Read Scripture: Ruth by The Bible Project 3 years ago 7 minutes, 12 seconds 836,742 views",0h1eoBeR4Jk,Playlist
1,Read Scripture: 1 Samuel,"Read Scripture: 1 Samuel by The Bible Project 2 years ago 7 minutes, 19 seconds 980,661 views",QJOju5Dw0V0,Playlist
1,Read Scripture: 2 Samuel,"Read Scripture: 2 Samuel by The Bible Project 2 years ago 5 minutes, 57 seconds 737,026 views",YvoWDXNDJgs,Playlist
1,Read Scripture: 1-2 Kings,"Read Scripture: 1-2 Kings by The Bible Project 2 years ago 8 minutes, 51 seconds 854,935 views",bVFW3wbi9pk,Playlist
1,Read Scripture: Isaiah 1-39,"Read Scripture: Isaiah 1-39 by The Bible Project 2 years ago 8 minutes, 11 seconds 779,168 views",d0A6Uchb1F8,Playlist
1,Read Scripture: Isaiah 40-66,"Read Scripture: Isaiah 40-66 by The Bible Project 2 years ago 8 minutes, 6 seconds 511,137 views",_TzdEPuqgQg,Playlist
1,Read Scripture: Hosea,"Read Scripture: Hosea by The Bible Project 2 years ago 7 minutes, 36 seconds 557,264 views",kE6SZ1ogOVU,Playlist
1,Read Scripture: Joel,"Read Scripture: Joel by The Bible Project 2 years ago 6 minutes, 49 seconds 408,087 views",zQLazbgz90c,Playlist
1,Read Scripture: Amos,"Read Scripture: Amos by The Bible Project 2 years ago 7 minutes, 13 seconds 444,525 views",mGgWaPGpGz4,Playlist
1,Read Scripture: Obadiah,"Read Scripture: Obadiah by The Bible Project 2 years ago 4 minutes, 59 seconds 328,234 views",i4ogCrEoG5s,Playlist
1,Read Scripture: Jonah,"Read Scripture: Jonah by The Bible Project 2 years ago 9 minutes, 1 second 558,559 views",dLIabZc0O4c,Playlist
1,Read Scripture: Micah,"Read Scripture: Micah by The Bible Project 2 years ago 6 minutes, 39 seconds 383,088 views",MFEUEcylwLc,Playlist
1,Read Scripture: Nahum,"Read Scripture: Nahum by The Bible Project 2 years ago 5 minutes, 7 seconds 297,668 views",Y30DanA5EhU,Playlist
1,Read Scripture: Habakkuk,"Read Scripture: Habakkuk by The Bible Project 2 years ago 6 minutes, 49 seconds 355,895 views",OPMaRqGJPUU,Playlist
