TITLE,YOUTUBE LABEL,VIDEO_ID
Son of Man,"Son of Man by The Bible Project 1 week ago 5 minutes, 51 seconds 178,098 views",z6cWEcqxhlI
Acts Ch. 13-20,"Acts Ch. 13-20 by The Bible Project 1 month ago 4 minutes, 43 seconds 122,179 views",fglsbcGSr3A
The Book of Psalms,"The Book of Psalms by The Bible Project 1 month ago 5 minutes, 30 seconds 177,540 views",dpny22k_7uk
YouTube Creator Award Unboxing - 1 MILLION Sub Gold Award,"YouTube Creator Award Unboxing - 1 MILLION Sub Gold Award by The Bible Project 1 month ago 51 seconds 56,203 views",wX-42UOUPPs
The Way of the Exile,"The Way of the Exile by The Bible Project 2 months ago 5 minutes, 20 seconds 183,773 views",XzWpa0gcPyo
God,"God by The Bible Project 2 months ago 8 minutes, 10 seconds 569,830 views",eAvYmE2YYIU
New Testament Overview,"New Testament Overview by The Bible Project 3 months ago 8 minutes, 18 seconds 205,196 views",Q0BrP8bqj0c
1 Million Subscriber Video,"1 Million Subscriber Video by The Bible Project 3 months ago 37 seconds 36,475 views",pxGY3Av5_Mc
What is the Bible Project?,"What is the Bible Project? by The Bible Project 3 months ago 2 minutes, 32 seconds 100,989 views",vFwNZNyDu9k
"Word Study: Avon - ""Iniquity""","Word Study: Avon - ""Iniquity"" by The Bible Project 3 months ago 5 minutes 157,242 views",w1zkwkI9oAw
Metaphor in Biblical Poetry,"Metaphor in Biblical Poetry by The Bible Project 3 months ago 5 minutes, 12 seconds 112,604 views",L9W5afjndtU
Season 5 LIVE Launch and Q&R!,"Season 5 LIVE Launch and Q&R! by The Bible Project 3 months ago 1 hour, 16 minutes 35,427 views",vh2Xwja6M4s
Season 5 Live Launch September 6th!,"Season 5 Live Launch September 6th! by The Bible Project 3 months ago 36 seconds 17,815 views",hP_RJFaKZpg
How to subscribe to The Bible Project,"How to subscribe to The Bible Project by The Bible Project 4 months ago 84 seconds 39,135 views",jKV0aAV4DNs
Season 5 Preview,"Season 5 Preview by The Bible Project 4 months ago 6 minutes, 45 seconds 54,837 views",BROWj7lDbFA
Classroom Call,"Classroom Call by The Bible Project 4 months ago 90 seconds 78,782 views",LGb5wPNIy_4
Special Announcement,"Special Announcement by The Bible Project 5 months ago 109 seconds 68,271 views",q1HkQTnlBGg
Acts Ch. 8-12,"Acts Ch. 8-12 by The Bible Project 6 months ago 6 minutes 216,223 views",oiVAbkINtRU
DVD Project,"DVD Project by The Bible Project 6 months ago 60 seconds 32,254 views",3M0_gigd5Eo
Acts Ch. 1-7,"Acts Ch. 1-7 by The Bible Project 6 months ago 6 minutes, 22 seconds 290,475 views",JQhkWmFJKnA
The Art of Biblical Poetry,"The Art of Biblical Poetry by The Bible Project 7 months ago 5 minutes, 23 seconds 194,389 views",q9yp1ZXbsEg
"Word Study: Pesha - ""Transgression""","Word Study: Pesha - ""Transgression"" by The Bible Project 7 months ago 5 minutes, 46 seconds 260,019 views",cq-r9FFN5ew
Exile,"Exile by The Bible Project 8 months ago 5 minutes, 11 seconds 302,715 views",xSua9_WhQFE
Read Scripture: TaNaK / Old Testament,"Read Scripture: TaNaK / Old Testament by The Bible Project 8 months ago 12 minutes 294,254 views",ALsluAKBZ-c
Comments Section: The Shema Series,"Comments Section: The Shema Series by The Bible Project 8 months ago 3 minutes, 14 seconds 39,622 views",cGTgBY6Bm7c
Design Patterns in Biblical Narrative,"Design Patterns in Biblical Narrative by The Bible Project 9 months ago 6 minutes, 7 seconds 204,611 views",rkqsQpck8YU
The Bible Project Podcast: Exile Series,"The Bible Project Podcast: Exile Series by The Bible Project 9 months ago 117 seconds 40,524 views",WWRtWcYF-p0
"Word Study: Khata - ""Sin""","Word Study: Khata - ""Sin"" by The Bible Project 9 months ago 5 minutes, 43 seconds 534,600 views",aNOZ7ocLD74
Setting in Biblical Narrative,"Setting in Biblical Narrative by The Bible Project 10 months ago 5 minutes, 46 seconds 224,764 views",7FuT8WtoAK0
"Word Study: Me'od - ""Strength""","Word Study: Me'od - ""Strength"" by The Bible Project 10 months ago 4 minutes, 43 seconds 268,291 views",9aaVy1AmFX4
BTS 19: Office Move,"BTS 19: Office Move by The Bible Project 11 months ago 4 minutes, 30 seconds 47,670 views",aAs0yu7DyVY
Character in Biblical Narrative,"Character in Biblical Narrative by The Bible Project 11 months ago 5 minutes, 28 seconds 295,934 views",0EQDGax19xk
"Word Study: Agape - ""Love""","Word Study: Agape - ""Love"" by The Bible Project 1 year ago 4 minutes, 49 seconds 377,886 views",slyevQ1LW7A
"Word Study: Chara - ""Joy""","Word Study: Chara - ""Joy"" by The Bible Project 1 year ago 4 minutes, 32 seconds 330,050 views",qvOhQTuD2e0
"Word Study: Yakhal - ""Hope""","Word Study: Yakhal - ""Hope"" by The Bible Project 1 year ago 4 minutes, 34 seconds 336,486 views",4WYNBjJSYvE
BTS 18: Read Scripture Books,"BTS 18: Read Scripture Books by The Bible Project 1 year ago 3 minutes, 15 seconds 37,794 views",9rxDuQVHaTQ
"Word Study: Shalom - ""Peace""","Word Study: Shalom - ""Peace"" by The Bible Project 1 year ago 3 minutes, 49 seconds 371,152 views",oLYORLZOaZE
Gospel of Luke Ch. 24,"Gospel of Luke Ch. 24 by The Bible Project 1 year ago 5 minutes, 16 seconds 208,059 views",Vb24Lk1Oh5M
"Word Study: Nephesh - ""Soul""","Word Study: Nephesh - ""Soul"" by The Bible Project 1 year ago 4 minutes, 23 seconds 393,800 views",g_igCcWAMAM
BTS 17: Justice,"BTS 17: Justice by The Bible Project 1 year ago 5 minutes, 53 seconds 50,263 views",9U9nxG544Gk
Justice,"Justice by The Bible Project 1 year ago 6 minutes, 18 seconds 640,549 views",A14THPoc4-4
BTS 16 : The Quarterly,"BTS 16 : The Quarterly by The Bible Project 1 year ago 4 minutes, 3 seconds 36,701 views",H4yHKbh6ps8
Plot In Biblical Narrative,"Plot In Biblical Narrative by The Bible Project 1 year ago 5 minutes, 13 seconds 375,251 views",dLFCE8z__hw
Gospel of Luke Ch. 19-23,"Gospel of Luke Ch. 19-23 by The Bible Project 1 year ago 4 minutes, 26 seconds 269,858 views",_unHmAf7INk
"Word Study: Lev - ""Heart""","Word Study: Lev - ""Heart"" by The Bible Project 1 year ago 3 minutes, 51 seconds 412,009 views",aS4iM6KpPYo
Strange Bible Podcast Intro,"Strange Bible Podcast Intro by The Bible Project 1 year ago 2 minutes, 43 seconds 75,226 views",p5yl4tGhFJg
The Bible as Jewish Meditation Literature,"The Bible as Jewish Meditation Literature by The Bible Project 1 year ago 4 minutes, 31 seconds 431,149 views",VhmlJBUIoLk
"Word Study: Ahavah - ""Love""","Word Study: Ahavah - ""Love"" by The Bible Project 1 year ago 4 minutes, 7 seconds 486,859 views",HV_LUs2lnIQ
Gospel of Luke Ch. 9-19,"Gospel of Luke Ch. 9-19 by The Bible Project 1 year ago 4 minutes, 48 seconds 307,521 views",jUCCUHurV0I
Literary Styles in the Bible,"Literary Styles in the Bible by The Bible Project 1 year ago 5 minutes, 28 seconds 522,948 views",oUXJ8Owes8E
Read Scripture: Matthew Ch. 1-13,"Read Scripture: Matthew Ch. 1-13 by The Bible Project 1 year ago 8 minutes, 17 seconds 655,276 views",3Dv4-n6OYGI
Public Reading of Scripture,"Public Reading of Scripture by The Bible Project 1 year ago 3 minutes, 30 seconds 283,447 views",BO1Y9XyWKTw
