Day_Number,Title,URL,Duration_(ms)
1,"Daily Bible Reading - Monday, January 1",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a43b5760d9297c68861d3c7/1514386893647/OYB_January1_2018_mixdown.mp3/original/OYB_January1_2018_mixdown.mp3,987000
2,"Daily Bible Reading - Tuesday, January 2",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4a92a48165f54918e57151/1514836717854/OYB_January2_2018_mixdown.mp3/original/OYB_January2_2018_mixdown.mp3,767000
3,"Daily Bible Reading - Wednesday, January 3",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4bdedde2c483daf9a58cc0/1514921786704/OYB_January3_2018_mixdown.mp3/original/OYB_January3_2018_mixdown.mp3,946000
4,"Daily Bible Reading - Thursday, January 4",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4bec60ec212d8987a18448/1514925232985/OYB_January4_2018_mixdown.mp3/original/OYB_January4_2018_mixdown.mp3,903000
5,"Daily Bible Reading - Friday, January 5",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4d38578165f5f47330f311/1515010223690/OYB_January5_2018_mixdown.mp3/original/OYB_January5_2018_mixdown.mp3,854000
6,"Daily Bible Reading - Saturday, January 6",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4e86c6f9619a322dc10f47/1515095823032/OYB_January6_2018_mixdown.mp3/original/OYB_January6_2018_mixdown.mp3,846000
7,"Daily Bible Reading - Sunday, January 7",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4e965771c10b3b6aa9de55/1515099820045/OYB_January7_2018_mixdown.mp3/original/OYB_January7_2018_mixdown.mp3,953000
8,"Daily Bible Reading - Monday, January 8",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4feeeb24a6940f4a39f7e6/1515188021620/OYB_January8_2018_mixdown.mp3/original/OYB_January8_2018_mixdown.mp3,859000
9,"Daily Bible Reading - Tuesday, January 9",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a511eb5c830256b617b107d/1515265806603/OYB_January9_2018_mixdown.mp3/original/OYB_January9_2018_mixdown.mp3,959000
Day_Number,Title,URL,Duration_(ms)
11,"Daily Bible Reading - Thursday, January 11",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a529ba771c10b6703d36cf5/1515363328533/OYB_January11_2018_mixdown.mp3/original/OYB_January11_2018_mixdown.mp3,860000
12,"Daily Bible Reading - Friday, January 12",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a53d3218165f5e247196e1f/1515443051568/OYB_January12_2018_mixdown.mp3/original/OYB_January12_2018_mixdown.mp3,822000
13,"Daily Bible Reading - Saturday, January 13",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a53e77c8165f574392dff76/1515448260620/OYB_January13_2018_mixdown.mp3/original/OYB_January13_2018_mixdown.mp3,783000
14,"Daily Bible Reading - Sunday, January 14",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a56b5639140b755af44a030/1515632079628/OYB_January14_2018_mixdown.mp3/original/OYB_January14_2018_mixdown.mp3,835000
15,"Daily Bible Reading - Monday, January 15",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a5e563571c10b3c9178b589/1516131965230/OYB_January15_2018_mixdown.mp3/original/OYB_January15_2018_mixdown.mp3,777000
16,"Daily Bible Reading - Tuesday, January 16 ",http://media.blubrry.com/oneyearbiblepodcast/static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a57c883c8302558ef0eb2cd/1515702499618/OYB_January16_2018_mixdown.mp3/,
17,"Daily Bible Reading - Wednesday, January 17",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a59284771c10bc39a50f88a/1515792533280/OYB_January17_2018_mixdown.mp3/original/OYB_January17_2018_mixdown.mp3,878000
18,"Daily Bible Reading - Thursday, January 18",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a5a5b849140b7e31a79a558/1515871211369/OYB_January18_2018_mixdown.mp3/original/OYB_January18_2018_mixdown.mp3,1009000
19,"Daily Bible Reading - Friday, January 19",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a5bb7cc9140b791b62d11c8/1515960348164/OYB_January19_2018_mixdown.mp3/original/OYB_January19_2018_mixdown.mp3,937000
20,"Daily Bible Reading - Saturday, January 20",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a5d109e53450ac120568104/1516048637976/OYB_January20_2018_mixdown.mp3/original/OYB_January20_2018_mixdown.mp3,875000
21,"Daily Bible Reading - Sunday, January 21",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a5e6e27ec212d675a027f0c/1516138103134/OYB_January21_2018_mixdown.mp3/original/OYB_January21_2018_mixdown.mp3,910000
22,"Daily Bible Reading - Monday, January 22",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a5feb3108522948920a75b4/1516235649271/OYB_January22_2018_mixdown.mp3/original/OYB_January22_2018_mixdown.mp3,901000
23,"Daily Bible Reading - Tuesday, January 23",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a6135ddc83025f09a7b8973/1516320312584/OYB_January23_2018_mixdown.mp3/original/OYB_January23_2018_mixdown.mp3,1049000
24,"Daily Bible Reading - Wednesday, January 24",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a6369b1419202749b8fa0d6/1516464641270/OYB_January24_2018_mixdown.mp3/original/OYB_January24_2018_mixdown.mp3,875000
25,"Daily Bible Reading - Thursday, January 25",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a637d5a71c10be0a05c1b99/1516469673696/OYB_January25_2018_mixdown.mp3/original/OYB_January25_2018_mixdown.mp3,900000
26,"Daily Bible Reading - Friday, January 26",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a650710e4966ba24216c009/1516570459751/OYB_January26_2018_mixdown.mp3/original/OYB_January26_2018_mixdown.mp3,755000
27,"Daily Bible Reading - Saturday, January 27",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a6657d708522976f5eb7e7f/1516656671289/OYB_January27_2018_mixdown.mp3/original/OYB_January27_2018_mixdown.mp3,876000
28,"Daily Bible Reading - Sunday, January 28",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a67af56652dea5f53de48f9/1516744609951/OYB_January28_2018_mixdown.mp3/original/OYB_January28_2018_mixdown.mp3,833000
29,"Daily Bible Reading - Monday, January 29",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a68fd8ae2c483dca23d6856/1516830186339/OYB_January29_2018_mixdown.mp3/original/OYB_January29_2018_mixdown.mp3,963000
30,"Daily Bible Reading - Tuesday, January 30",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a6bb702e4966b51475ffaf9/1517008721062/OYB_January30_2018_mixdown.mp3/original/OYB_January30_2018_mixdown.mp3,917000
31,"Daily Bible Reading - Wednesday, January 31",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a6cf0549140b70ed92ee57b/1517088942538/OYB_January31_2018_mixdown.mp3/original/OYB_January31_2018_mixdown.mp3,881000
32,"Daily Bible Reading - Thursday, February 1",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a6e315af9619a15b60827ee/1517171110425/OYB_February1_2018_mixdown.mp3/original/OYB_February1_2018_mixdown.mp3,903000
Day_Number,Title,URL,Duration_(ms)
33,"Daily Bible Reading - Friday, February 2",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a6e395c9140b70ed963912c/1517173182672/OYB_February2_2018_mixdown.mp3/original/OYB_February2_2018_mixdown.mp3,915000
34,"Daily Bible Reading - Saturday, February 3",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a6f8d2671c10b4ab492eced/1517260154897/OYB_February3_2018_mixdown.mp3/original/OYB_February3_2018_mixdown.mp3,815000
35,"Daily Bible Reading - Sunday, February 4",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a6f993dc830254f336d03d3/1517263238137/OYB_February4_2018_mixdown.mp3/original/OYB_February4_2018_mixdown.mp3,867000
36,"Daily Bible Reading - Monday, February 5",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a70e7eb0d92970a48cb4af1/1517348937846/OYB_February5_2018_mixdown.mp3/original/OYB_February5_2018_mixdown.mp3,950000
Day_Number,Title,URL,Duration_(ms)
Day_Number,Title,URL,Duration_(ms)
37,"Daily Bible Reading - Wednesday, February 7",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a721c62652dea06c1da892a/1517427885687/OYB_February7_2018_mixdown.mp3/original/OYB_February7_2018_mixdown.mp3,928000
38,"Daily Bible Reading - Thursday, February 8",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a7a17f8e4966b5472d94238/1517951031964/OYB_February8_2018_mixdown.mp3/original/OYB_February8_2018_mixdown.mp3,785000
39,"Daily Bible Reading - Friday, February 9",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a7b665e8165f513403a9dfc/1518036668023/OYB_February9_2018_mixdown.mp3/original/OYB_February9_2018_mixdown.mp3,984000
40,"Daily Bible Reading - Saturday, February 10",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a7caf5c53450ae9d9a5eb75/1518120861184/OYB_February10_2018_mixdown.mp3/original/OYB_February10_2018_mixdown.mp3,767000
41,"Daily Bible Reading - Sunday, February 11",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a7e0179f9619ab21f9c29b9/1518207439303/OYB_February11_2018_mixdown.mp3/original/OYB_February11_2018_mixdown.mp3,911000
42,"Daily Bible Reading - Monday, February 12",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a80a6a2ec212d81180892dc/1518380771470/OYB_February12_2018_mixdown.mp3/original/OYB_February12_2018_mixdown.mp3,717000
