Day_Number,Reading,Title,URL,Duration_(ms)
1,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/1/daily-bible-reading-friday-january-1,
2,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/2/daily-bible-reading-saturday-january-2,
3,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/3/daily-bible-reading-sunday-january-3,
4,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/4/daily-bible-reading-monday-january-4,
5,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/5/daily-bible-reading-tuesday-january-5,
6,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/6/daily-bible-reading-wednesday-january-6,
7,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/7/daily-bible-reading-thursday-january-7,
8,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/8/daily-bible-reading-friday-january-8,
9,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/9/daily-bible-reading-saturday-january-9,
10,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/10/daily-bible-reading-sunday-january-10,
11,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/11/daily-bible-reading-monday-january-11,
12,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/12/daily-bible-reading-tuesday-january-12,
13,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/13/daily-bible-reading-wednesday-january-13,
14,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/14/daily-bible-reading-thursday-january-14,
15,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/15/daily-bible-reading-friday-january-15,
16,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/16/daily-bible-reading-saturday-january-16,
17,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/17/daily-bible-reading-sunday-january-17,
18,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/18/daily-bible-reading-monday-january-18,
19,,Problem retrieving,http://oneyearbiblepodcast.com/daily-bible-reading/2016/1/19/daily-bible-reading-tuesday-january-19,
