Day_Number,Reading,Title,URL,Duration_(ms)
1,GENESIS 1:1-2:25 | MATTHEW 1:1-2:12 | PSALM 1:1-6 | PROVERBS 1:1-6ﾠ,"Daily Bible Reading - Monday, January 1",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a43b5760d9297c68861d3c7/1514386893647/OYB_January1_2018_mixdown.mp3/original/OYB_January1_2018_mixdown.mp3,987000
2,GENESIS 3:1-4:26 | MATTHEW 2:13-3:6 | PSALM 2:1-12 | PROVERBS 1:7-9,"Daily Bible Reading - Tuesday, January 2",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4a92a48165f54918e57151/1514836717854/OYB_January2_2018_mixdown.mp3/original/OYB_January2_2018_mixdown.mp3,767000
3,GENESIS 5:1-7:24 | MATTHEW 3:7-4:11 | PSALM 3:1-8 | PROVERBS 1:10-19,"Daily Bible Reading - Wednesday, January 3",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4bdedde2c483daf9a58cc0/1514921786704/OYB_January3_2018_mixdown.mp3/original/OYB_January3_2018_mixdown.mp3,946000
4,GENESIS 8:1-10:32 | MATTHEW 4:12-25 | PSALM 4:1-8 | PROVERBS 1:20-23,"Daily Bible Reading - Thursday, January 4",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4bec60ec212d8987a18448/1514925232985/OYB_January4_2018_mixdown.mp3/original/OYB_January4_2018_mixdown.mp3,903000
5,GENESIS 11:1-13:4 | MATTHEW 5:1-26 | PSALM 5:1-12 | PROVERBS 1:24-28,"Daily Bible Reading - Friday, January 5",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4d38578165f5f47330f311/1515010223690/OYB_January5_2018_mixdown.mp3/original/OYB_January5_2018_mixdown.mp3,854000
6,GENESIS 13:5-15:21 | MATTHEW 5:27-48 | PSALM 6:1-10 | PROVERBS 1:29-33,"Daily Bible Reading - Saturday, January 6",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4e86c6f9619a322dc10f47/1515095823032/OYB_January6_2018_mixdown.mp3/original/OYB_January6_2018_mixdown.mp3,846000
7,GENESIS 16:1-18:19 | MATTHEW 6:1-24 | PSALM 7:1-17 | PROVERBS 2:1-5,"Daily Bible Reading - Sunday, January 7",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4e965771c10b3b6aa9de55/1515099820045/OYB_January7_2018_mixdown.mp3/original/OYB_January7_2018_mixdown.mp3,953000
8,GENESIS 18:20-19:38 | MATTHEW 6:25-7:14 | PSALM 8:1-9 | PROVERBS 2:6-15,"Daily Bible Reading - Monday, January 8",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a4feeeb24a6940f4a39f7e6/1515188021620/OYB_January8_2018_mixdown.mp3/original/OYB_January8_2018_mixdown.mp3,859000
9,GENESIS 20:1-22:24 | MATTHEW 7:15-29 | PSALM 9:1-12 | PROVERBS 2:16-22,"Daily Bible Reading - Tuesday, January 9",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a511eb5c830256b617b107d/1515265806603/OYB_January9_2018_mixdown.mp3/original/OYB_January9_2018_mixdown.mp3,959000
10,GENESIS 23:1-24:51 | MATTHEW 8:1-17 | PSALM 9:13-20 | PROVERBS 3:1-6ﾠ,"Daily Bible Reading - Wednesday, January 10",http://static1.squarespace.com/static/520fcad6e4b0717200274c82/t/5a516af60d9297f9a57dc596/1515285331890/OYB_January10_2108_mixdown.mp3/original/OYB_January10_2108_mixdown.mp3,957000
