Day,Order,Reading
1,1,GENESIS 1:1-2:25
1,2,MATTHEW 1:1-2:12
1,3,PSALM 1:1-1:6
1,4,PROVERBS 1:1-1:6
2,1,GENESIS 3:1-4:26
2,2,MATTHEW 2:13-3:6
2,3,PSALM 2:1-2:12
2,4,PROVERBS 1:7-1:9
3,1,GENESIS 5:1-7:24
3,2,MATTHEW 3:7-4:11
3,3,PSALM 3:1-8
3,4,PROVERBS 1:10-19
4,1,GENESIS 8:1-10:32
4,2,MATTHEW 4:12-25
4,3,PSALM 4:1-8
4,4,PROVERBS 1:20-23
5,1,GENESIS 11:1-13:4
5,2,MATTHEW 5:1-26
5,3,PSALM 5:1-12
5,4,PROVERBS 1:24-28
6,1,GENESIS 13:5-15:21
6,2,MATTHEW 5:27-48
6,3,PSALM 6:1-10
6,4,PROVERBS 1:29-33
7,1,GENESIS 16:1-18:15
7,2,MATTHEW 6:1-24
7,3,PSALM 7:1-17
7,4,PROVERBS 2:1-5
8,1,GENESIS 18:16-19:38
8,2,MATTHEW 6:25-7:14
8,3,PSALM 8:1-9
8,4,PROVERBS 2:6-15
9,1,GENESIS 20:1-22:24
9,2,MATTHEW 7:15-29
9,3,PSALM 9:1-12
9,4,PROVERBS 2:16-22
10,1,GENESIS 23:1-24:51
10,2,MATTHEW 8:1-17
10,3,PSALM 9:13-20
10,4,PROVERBS 3:1-6
11,1,GENESIS 24:52-26:16
11,2,MATTHEW 8:18-34
11,3,PSALM 10:1-15
11,4,PROVERBS 3:7-8
12,1,GENESIS 26:17-27:46
12,2,MATTHEW 9:1-17
12,3,PSALM 10:16-18
12,4,PROVERBS 3:9-10
13,1,GENESIS 28:1-29:35
13,2,MATTHEW 9:18-38
13,3,PSALM 11:1-7
13,4,PROVERBS 3:11-12
14,1,GENESIS 30:1-31:16
14,2,MATTHEW 10:1-23
14,3,PSALM 12:1-8
14,4,PROVERBS 3:13-15
15,1,GENESIS 31:17-32:12
15,2,MATTHEW 10:24-11:6
15,3,PSALM 13:1-6
15,4,PROVERBS 3:16-18
16,1,GENESIS 32:13-34:31
16,2,MATTHEW 11:7-30
16,3,PSALM 14:1-7
16,4,PROVERBS 3:19-20
17,1,GENESIS 35:1-36:43
17,2,MATTHEW 12:1-21
17,3,PSALM 15:1-5
17,4,PROVERBS 3:21-26
18,1,GENESIS 37:1-38:30
18,2,MATTHEW 12:22-45
18,3,PSALM 16:1-11
18,4,PROVERBS 3:27-32
19,1,GENESIS 39:1-41:16
19,2,MATTHEW 12:46-13:23
19,3,PSALM 17:1-15
19,4,PROVERBS 3:33-35
20,1,GENESIS 41:17-42:17
20,2,MATTHEW 13:24-46
20,3,PSALM 18:1-15
20,4,PROVERBS 4:1-6
21,1,GENESIS 42:18-43:34
21,2,MATTHEW 13:47-14:12
21,3,PSALM 18:16-36
21,4,PROVERBS 4:7-10
22,1,GENESIS 44:1-45:28
22,2,MATTHEW 14:13-36
22,3,PSALM 18:37-50
22,4,PROVERBS 4:11-13
23,1,GENESIS 46:1-47:31
23,2,MATTHEW 15:1-28
23,3,PSALM 19:1-14
23,4,PROVERBS 4:14-19
24,1,GENESIS 48:1-49:33
24,2,MATTHEW 15:29-16:12
24,3,PSALM 20:1-9
24,4,PROVERBS 4:20-27
25,1,GENESIS 50:1-26
25,2,EXODUS 1:1-2:10
25,3,MATTHEW 16:13-17:9
25,4,PSALM 21:1-13
25,5,PROVERBS 5:1-6
26,1,EXODUS 2:11-3:22
26,2,MATTHEW 17:10-27
26,3,PSALM 22:1-18
26,4,PROVERBS 5:7-14
27,1,EXODUS 4:1-5:21
27,2,MATTHEW 18:1-20
27,3,PSALM 22:19-31
27,4,PROVERBS 5:15-21
28,1,EXODUS 5:22-7:25
28,2,MATTHEW 18:21-19:12
28,3,PSALM 23:1-6
28,4,PROVERBS 5:22-23
29,1,EXODUS 8:1-9:35
29,2,MATTHEW 19:13-30
29,3,PSALM 24:1-10
29,4,PROVERBS 6:1-5
30,1,EXODUS 10:1-12:13
30,2,MATTHEW 20:1-28
30,3,PSALM 25:1-15
30,4,PROVERBS 6:6-11
31,1,EXODUS 12:14-13:16
31,2,MATTHEW 20:29-21:22
31,3,PSALM 25:16-22
31,4,PROVERBS 6:12-15
32,1,EXODUS 13:17-15:18
32,2,MATTHEW 21:23-46
32,3,PSALM 26:1-12
32,4,PROVERBS 6:16-19
33,1,EXODUS 15:19-17:7
